X,Y,objectid,nombre_de_,nombre_de1,classement,adresse,cp,ville,e_mail,type_d_et,nom_etabl,civilite,site_web,created_user,created_date,last_edited_user,last_edited_date
1687774.3943,9247649.2685,1,2,5, ,8 rue Gustave Spriet,62300,LENS, ,2,La Villa Louvre-Lens - 4,Madame,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687774.3943,9247649.2685,2,2,5, ,8 rue Gustave Spriet,62300,LENS, ,2,La Villa Louvre-Lens - 5,Madame,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1683543.6423,9243296.3243,3,7,4,Non classé,7 rue Casimir Beugnet,62580,GIVENCHY-EN-GOHELLE,30location@gmail.com,5,Meublé de Karine et Philippe,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687712.3941,9247631.0584,4,0,3, ,13 rue de la Fonderie,62300,LENS, ,5,Meublé La Fonderie - 3,M,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1676439.2009,9246676.449,5,6,2,Non classé,23 rue Maurice Gouy,62172,BOUVIGNY-BOYEFFLES,cooperlechien@hotmail.fr,5,La Demeure de l'Artois,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1679834.547,9249126.4885,6,4,1,Non classé,86 B rue François Brasme,62160,BULLY-LES-MINES,katherine.morice@orange.fr,5,La Maison Orange 2,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1679755.8159,9243558.7719,7,4,2,3*,51 rue Marcel Lancino,62153,ABLAIN-SAINT-NAZAIRE,siemiasj@gmail.com,5,"Gîte ""Les Chemins de Lorette""",Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1684313.5563,9243799.5388,8,5,2,Non classé,105 rue Degréaux,62580,GIVENCHY-EN-GOHELLE, ,5,L'Heure Bleue - Gîte Héron, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1693833.1827,9247813.5276,9,6,3,Non classé,Mairie 35 rue Pasteur,62740,FOUQUIERES-LEZ-LENS,Fouquieres_ST@numericable.fr,5,Gîte du troglodyte mignon,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687804.7948,9247675.7829,10,4,1,Non classé,5 rue Romuald Pruvost,62300,LENS, ,5,Appart Hôtel - Appart Musée 14-18, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687161.3232,9249284.8156,11,2,1,Non classé,2 place Cauchy,62300,LENS, ,5,Meublé Léa & Co - Appartement sous les toits, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1684814.8997,9243644.8084,12,8,3,3*,8 rue des Alouettes,62580,GIVENCHY-EN-GOHELLE, ,5,Gîtes des Alouettes - 2, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1682885.0887,9245574.4012,13,3,1,2*,11 rue Marcel Leroux,62143,ANGRES,lesgitesdangres@gmail.com,5,Les gîtes d'Angres - 1,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1684814.8997,9243644.8084,14,7,3,3*,8 rue des Alouettes,62580,GIVENCHY-EN-GOHELLE,severin.dubois@wanadoo.fr,5,Gîtes des Alouettes - 1,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1685013.5203,9249021.037,15,5,1, ,4 square Noguères,62300,LENS, ,5,Gîtes de l'Ecole Buissonnière - Le grand gîte, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1683984.0934,9246077.077,16,6,3,Non classé,20 rue Denfert Rochereau,62800,LIEVIN,suitedhistoires@gmail.com,5,Suite d'histoires,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687804.7948,9247675.7829,17,2,0,3*,5 rue Romuald Pruvost,62300,LENS, ,5,Appart Hôtel - Studio Louvre-Lens, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1686179.435,9240770.0276,18,4,1,Non classé,1 rue Jean Moulin,62580,VIMY,nassera.b@orange.fr,5,Vimy @ Home,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687804.7948,9247675.7829,19,2,0,3*,5 rue Romuald Pruvost,62300,LENS, ,5,Appart Hôtel - Studio Les terrils jumeaux, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1691817.0014,9242698.766,20,4,2,4*,5 place du 11 novembre,62320,ACHEVILLE,alabridutoit@gmail.com,5,Gîte A l'Abri du toit,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1693048.4039,9248553.516,21,4,4,04/09/2019,61 rue de la Liberté,62740,FOUQUIERES-LEZ-LENS, ,2,La Kefoise - 2,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687894.3377,9247620.7412,22,6,2,Non classé,34 rue Gambetta,62300,LENS, ,5,Les gîtes de Lens Gambetta - Le Loft, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1688037.9159,9248148.2083,23,4,0,Non classé,23 rue du Cantin,62300,LENS,danieldessailly@hotmail.fr,5,Le Sweet Home Lens - Le Cantin - 1,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1680659.44,9243573.0946,24,3,0, ,9 rue Lancino,62153,ABLAIN-SAINT-NAZAIRE, ,2,La Ferme Auberge du Pré Molaine - 2, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687774.3943,9247649.2685,25,2,5, ,8 rue Gustave Spriet,62300,LENS,reception@hotel-lens.com,2,La Villa Louvre-Lens - 1,Madame,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687712.3941,9247631.0584,26,0,3, ,13 rue de la Fonderie,62300,LENS, ,5,Meublé La Fonderie - 2,M,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1684056.5394,9244116.642,27,4,2,3*,2 chemin du Petit Givenchy,62580,GIVENCHY-EN-GOHELLE,ambulances.serrier@wanadoo.fr,5,Histoire de famille,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1686407.0109,9249549.5328,28,2,1,Non classé,58 ter rue Pierre Brossolette,62300,LENS, ,5,Cook 11, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1686407.0109,9249549.5328,29,2,1,Non classé,58 ter rue Pierre Brossolette,62300,LENS, ,5,Cook 2, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687864.6181,9247643.3889,30,2,3, ,44 rue Gambetta,62300,LENS, ,2,La Belle Lensoise - 2,Madame,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687751.2399,9247653.1037,31,4,1,Non classé,15 rue Gustave Spriet,62300,LENS,karargilles0@gmail.com,5,Le 33 Gîtes - 1,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687161.3232,9249284.8156,32,2,0,Non classé,2 place Cauchy,62300,LENS, ,5,Meublé Léa & Co - Appartement confortable, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687864.6181,9247643.3889,33,2,3, ,44 rue Gambetta,62300,LENS,labellelensoise@gmail.com,2,La Belle Lensoise  - 1,Madame,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1686407.0109,9249549.5328,34,2,1,Non classé,58 ter rue Pierre Brossolette,62300,LENS, ,5,Cook 3, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687804.7948,9247675.7829,35,2,0,3*,5 rue Romuald Pruvost,62300,LENS, ,5,Appart Hôtel - Studio Vimy, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1690164.8907,9248797.7748,36,6,0,Non classé,2 rue Berthelot,62218,LOISON-SOUS-LENS,jonathan.neuts@free.fr,5,Villa Maëlia,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1682885.0887,9245574.4012,37,4,1, ,11 rue Marcel Leroux,62143,ANGRES, ,5,Les gîtes d'Angres - 2, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1682885.0887,9245574.4012,38,4,2, ,11 rue Marcel Leroux,62143,ANGRES, ,5,Les gîtes d'Angres - 3, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1685664.4692,9251305.3931,39,7,3,4*,56 rue Hoche,62750,LOOS-EN-GOHELLE,didier.caron4@sfr.fr,5,Fleur de Ciel,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687712.3941,9247631.0584,40,0,3, ,13 rue de la Fonderie,62300,LENS,benjamincoup@gmail.com,5,Meublé La Fonderie - 1,M,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1680390.4964,9243569.519,41,2,1, ,9 E rue Marcel Lancino,62153,ABLAIN-SAINT-NAZAIRE,pierre.labenne@orange.fr,2,Couleurs et senteurs provencales,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1688037.9159,9248148.2083,42,4,0,Non classé,23 rue du Cantin,62300,LENS, ,5,Le Sweet Home Lens - Le Cantin - 2,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687774.3943,9247649.2685,43,2,5, ,8 rue Gustave Spriet,62300,LENS, ,2,La Villa Louvre-Lens - 3,Madame,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1685013.5203,9249021.037,44,2,1,2*,4 square Noguères,62300,LENS,pierre.delroisse@gmail.com,5,Gîtes de l'Ecole Buissonnière - Le Cocon,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1691778.6475,9242547.2193,45,7,3,3*,9 rue Roger Maréchal,62320,ACHEVILLE,adrinico@free.fr,5,La Cabane de Léna,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1691886.4661,9255106.4127,46,2,3, ,15 chemin des Prés,62410,MEURCHIN, ,2,Le Nador - 2,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1679421.6491,9242448.4185,47,10,4,3*,1 rue d'Ablain,62144,CARENCY,jacques.hernoust@wanadoo.fr,5,La Cascade Fleurie,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687873.1081,9247627.4635,48,2,4,24/04/2019,33 rue Gambetta,62300,LENS, ,2,Le 33 Chambres d'Hôtes - 3,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687864.6181,9247643.3889,49,2,3, ,44 rue Gambetta,62300,LENS, ,2,La Belle Lensoise - 4,Madame,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1688367.205,9248013.7772,50,5,3,3*,34 bis rue Etienne Dolet,62300,LENS,g.prevost62@yahoo.fr,5,Gîte La Bonne mine - N°34 Bis,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687873.1081,9247627.4635,51,2,4,24/04/2019,33 rue Gambetta,62300,LENS, ,2,Le 33 Chambres d'Hôtes - 4,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687804.7948,9247675.7829,52,4,1,Non classé,5 rue Romuald Pruvost,62300,LENS, ,5,Appart Hôtel - Appart Notre-Dame-de-Lorette, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1681276.5938,9250050.889,53,6,1,Non classé,Place Daniel Breton,62160,GRENAY,etatcivil@grenay.fr,5,Les Pétrolettes,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1686407.0109,9249549.5328,54,2,1,Non classé,58 ter rue Pierre Brossolette,62300,LENS, ,5,Cook 10, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687751.2399,9247653.1037,55,4,1,Non classé,15 rue Gustave Spriet,62300,LENS, ,5,Le 33 Gîtes - 2,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1679115.605,9247352.8924,56,6,3,3*,29 rue Froide,62160,AIX NOULETTE,jp44.prevost@wanadoo.fr,5,La Maison d'Adélaïde,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1688325.725,9247954.5819,57,6,0,Non classé,27 rue du 14 Juillet,62300,LENS, ,5,Le Sweet Home Lens - 2,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687414.6018,9248017.5053,58,2,0,Non classé,"84 résidence Bollaert 
24 rue Edouard Bollaert
Bâtiment B",62300,LENS,michel.janu@orange.fr,5,Le Bollaert,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1688209.867,9247676.5372,59,4,2,En cours de classement 3*,9 avenue Van Pelt - Apt 15,62300,LENS,nr.beclin@gmail.com,5,Alice et Marie au Pays du Louvre,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1685276.2225,9250973.9818,60,8,2,Non classé,1 rue du 11 novembre,62750,LOOS-EN-GOHELLE, ,5,L'instant Présent - La volière, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687028.1759,9247699.0895,61,4,0,Non classé,34 avenue Alfred Maës,62300,LENS,jonathan.neuts@free.fr,5,Hannah Césarine,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1691746.6502,9242643.4824,62,4,2,3*,1 bis rue Roger Maréchal,62320,ACHEVILLE,michel.dorez@orange.fr,5,Gîte La Petite Métaierie,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1691333.1115,9251894.4378,63,12,5,Non classé,43 rue Kléber Rolle,62880,ANNAY-SOUS-LENS,aubergedulac.leroux@hotmail.com,4,Auberge du Lac,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
